Chapters,Favs,Follows,Published,Reviews,Updated,Words,author,characters,genre,language,rating,story_link,synopsis,title,published_mmyy,pairing
1, 1,, 12/29/2019,,, 403,shaula19,Sirius B.,Angst,French,K+,https://www.fanfiction.net/s/13464338/1/Chutes,"Cinq fois où Sirius Black est tombé, et une fois où il ne l'a pas fait.",Chutes,12-2019,
1, 10, 4, 12/29/2019,2.0,," 5,437",reviews,"[Fred W., Hermione G.] George W.",Romance/Hurt/Comfort,English,T,https://www.fanfiction.net/s/13464337/1/Is-it-Enough,"Tragedy doesn't always come in the form of the Dark Lord. Over a year since the battle of Hogwarts, Fred and Hermione have built a life together. But a new tragedy occurs which threatens to tear them apart for good. Not that Fred is going to let it go without a fight. AN: I do not own Harry Potter or the characters.",Is it Enough?,12-2019,"Fred W., Hermione G."
1, 1, 5, 12/29/2019,2.0,," 3,083",reviews,"Hermione G., Draco M.",Hurt/Comfort/Angst,English,T,https://www.fanfiction.net/s/13464327/1/A-Twist-In-Time,"Secrets and lies shroud the wizarding world; and when word gets out that followers of the former Dark Lord are concocting a plan to bring him back; Hermione is tasked with the mission of going back in time to one of the most tragic events in history: the sinking of the RMS Titanic. However, she wasn't sent alone. Can Draco and Hermione work together to stop a revolution?",A Twist In Time,12-2019,
1, 7, 14, 12/29/2019,6.0,," 2,172",reviews,"[Hermione G., Minerva M.]",Romance,English,T,https://www.fanfiction.net/s/13464309/1/In-Her-Own-Time,"A broken time turner, a crush that becomes more, and an ending that will leave one of them in tears. Hermione Granger falls back in time and meets a fifteen year old Minerva McGonagall.",In Her Own Time,12-2019,"Hermione G., Minerva M."
3, 1,, 12/29/2019,,, 642,GameOver82,,,English,K,https://www.fanfiction.net/s/13464304/1/Perceptions-of-the-Inanimate,"To the untrained eye, Hogwarts, The Whomping Willow and the Sorting Hat appear to be inanimate To those in the know however... they are sentient... NO REVIEWS AND I MEAN IT",Perceptions of the Inanimate,12-2019,
1, 5, 3, 12/29/2019,1.0,," 5,311",reviews,"Harry P., Hermione G., Draco M., Pansy P.",Romance/Friendship,English,M,https://www.fanfiction.net/s/13464302/1/Saturnalia,"Hermione misses Midnight Mass with her parents to participate in her first ever Saturnalia ritual. What will she learn about her magic, her place in the world and ultimately herself? My submission for the 2019 Slytherin Cabal (18 ) Twistmas Fest",Saturnalia,12-2019,
17, 2,, 12/29/2019,3.0, 1/7," 11,631",ravengirlxD222,"Harry P., OC",Humor/Adventure,English,T,https://www.fanfiction.net/s/13464294/1/bloody-moonlight-20,"SO excited yass! And guys, NO FLAMERS PL0x! I'm liek a total newbie soooo... Yumiko-kitsune-chan: Shouldn't you write the summary? Me: OH YEAH! LOOOOL i toootes forgot! haha SO! MC is this girl Estique, and she's liek just SUPERRR FREAKIN EDGY! suddenly 1 day... she gets a letter to... HOGWARTS! I am liek sooooo bad at summaryes so plz just read n review like A LOOOOT okie!",bloody moonlight! 20,12-2019,
1, 1,, 12/29/2019,,," 2,772",GameOver82,"Hermione G., OC",,English,K+,https://www.fanfiction.net/s/13464286/1/Hogwarts-does-NaNoWriMo,What would happen if someone suggested doing National Novel Writing Month at Hogwarts? What would the limitations of doing it there be? NO REVIEWS... AND I MEAN IT!,Hogwarts does NaNoWriMo,12-2019,
1, 13, 5, 12/29/2019,8.0,," 7,943",reviews,"[Scorpius M., Rose W.] Albus S. P.",Romance/Humor,English,T,https://www.fanfiction.net/s/13464268/1/Christmas-with-Rose-Weasley,"Scorpius grinned over his shoulder at Albus and raced up the staircase, one hastily packed rucksack clutched in his arms and a festive spring in his step. Christmas at Grimmauld Place – now this was going to be brilliant! (One shot, complete)",Christmas with Rose Weasley,12-2019,"Scorpius M., Rose W."
3, 7, 10, 12/29/2019,, 1h," 11,058",NightingaleTear,"Albus D., Minerva M.",Friendship,English,T,https://www.fanfiction.net/s/13464262/1/Lionhearted,"When Minerva McGonagall was eleven years of age, she went off to Hogwarts to become the extraordinary witch she was destined to be. One of her teachers was Albus Dumbledore… A story about trust, friendship and the hearts of two Gryffindors.",Lionhearted,12-2019,
2, 15, 23, 12/29/2019,, 1/1," 5,548",LillsBills,"[Harry P., Theodore N.] [Luna L., Neville L.]",Hurt/Comfort/Drama,English,M,https://www.fanfiction.net/s/13464256/1/To-Bind-Myself-to-You,"Theodore Nott hasn't had the best life since finding out he's an omega. After four years of abuse though the hands of alphas, he's taken in by a Mistress in a brothel for omegas where he re-meets the Alpha Harry Potter. NottPott. EWE. NSFW. NON-CON (not main parring)",To Bind Myself to You,12-2019,"Harry P., Theodore N."
1,,, 12/29/2019,,," 2,619",TinavomHeiderand,,Hurt/Comfort/Romance,German,T,https://www.fanfiction.net/s/13464255/1/In-the-bleak-midwinter,"Nach Ende des zweiten Zaubererkrieges steht Dracos Welt noch immer Kopf. Ganz besonders schwer wird die Weihnachtszeit für ihn. Vollkommen unerwartet, reicht die Familie Greengrass ihm die Hand und hilft ihm durch diese trübe Zeit. Kann Draco die Hilfe der Familie Greengrass annehmen oder steht er sich selbst im Weg?",In the bleak midwinter,12-2019,
4, 4, 9, 12/29/2019,5.0, 1/1," 4,715",Yorffeez,"Hermione G., Sirius B., Remus L., Severus S.",Supernatural/Romance,French,M,https://www.fanfiction.net/s/13464253/1/Sale-nuit-pour-le-professeur-Lupin,"Que se passerait-il si Lupin, après sa transformation dans le Prisonnier d'Azkaban, était réellement détourné de sa cible par le hurlement d'une véritable louve-garou?",Sale nuit pour le professeur Lupin,12-2019,
3, 13, 25, 12/29/2019,1.0,," 5,853",Bronsky Ellia,"[Harry P., Voldemort, Tom R. Jr.]",Romance/Drama,English,M,https://www.fanfiction.net/s/13464237/1/The-Latest-Shard,"The first time Harry sees them is during the Welcoming Feast of his eighth year at Hogwarts. They look like father and son, but Harry knows better. He sees a discreet red glint in the eyes of the elder, who's seating at the staff table, and notices how the younger winces, when playing with his red-and-gold tie. [full summary inside]",The Latest Shard,12-2019,"Harry P., Voldemort, Tom R. Jr."
1, 5, 7, 12/29/2019,,, 366,sirazkaban,,Adventure/Humor,English,M,https://www.fanfiction.net/s/13464217/1/Hello-Prongslet,"5 years after Sirius Black is wrongfully imprisoned in Azkaban, he decides enough is enough. He escapes, gets his godson Harry, and he needs to keep himself safe, but more importantly, Harry safe. PART ONE OF THE HELLO PRONGSLET SERIES.",Hello Prongslet,12-2019,
1, 1, 5, 12/29/2019,1.0,, 546,reviews,OC,Friendship/Suspense,English,T,https://www.fanfiction.net/s/13464189/1/Olivia-Sternt-The-Dark-Lord-s-daughter,"What if Voldemort had a daughter before the events of Harry Potter? Olivia Sternt’s father is The Dark Lord Voldemort, and she know it. Voldy dumped his daughter in Australia and left her there to fend for herself. Almost 11 years later, Olivia travels to the UK to attend Hogwarts. (The Harry Potter series was written by a powerful seer, and Olivia joins Harry in his 1st year).",Olivia Sternt-The Dark Lord’s daughter,12-2019,
1, 6, 3, 12/29/2019,,," 12,269",FrillySubby,"Hermione G., Ginny W., Bellatrix L.",Fantasy/Supernatural,English,M,https://www.fanfiction.net/s/13464179/1/Hermione-Granger-and-the-Chamber-of-Mirrors,"Lesbian BDSM story involving Hermione, Ginny and Bellatrix. Contains extremely sexual content, submissive Ginny, sub/dom Hermione and dom Bellatrix. Set a few years after the final book when Ginny meets Hermione for further study at University.",Hermione Granger and the Chamber of Mirrors,12-2019,
4, 41, 64, 12/28/2019,15.0, 1/4," 13,194",Gatalicious,"Harry P., Cedric D., Fred W.",Adventure/Friendship,English,K+,https://www.fanfiction.net/s/13464146/1/The-Boy-Who-Lived,"What if when Voldemort heard the prophecy, he decided that not only would he go after Neville and Harry, but every child born in that year? What if he decided to kill all children born the year before and the year after as well, just to be on the safe side? Harry Potter is the only boy who lived through the Purge, no one knows why. How will a young Harry Potter now cope? No romance",The Boy Who Lived,12-2019,
