Chapters,Favs,Follows,Published,Reviews,Updated,Words,Author,Characters,Genre,Language,Rating,Story_link,Synopsis,Title,Pairing
4,5,4,2019-12-31,0.0,2019-12-31,14591,Gociak,"HarryP.,DracoM.",Drama/Angst,Polish,M,https://www.fanfiction.net/s/13466195/1/Pie%C5%9B%C5%84-w-czasie-rewolucji,"AU Księcia Półkrwi, slash HPDM. Decyzja o rozpoczęciu rewolucji nigdy nie przychodzi łatwo - a jeszcze gorzej, kiedy starasz się uszanować wolną wolę wszystkich zainteresowanych, czy to czarodziejów, czy magicznych stworzeń. Przepowiednia, polityka, ministerstwo... Harry naprawdę nie potrzebuje tych wszystkich komplikacji.",Pieśń w czasie rewolucji,No specified pairings
1,0,1,2019-12-31,1.0,2019-12-31,2226,Wrong author,"RemusL.,OCSiriusB.,JamesP.",Romance/Angst,English,K+,https://www.fanfiction.net/s/13466185/1/A-Pinch-of-Happiness,"As long as something gives you even a pinch of happiness, you should go for it. Young!Remus Lupin oneshot.",A Pinch of Happiness,"Remus L., OC"
1,6,4,2019-12-31,2.0,2019-12-31,1290,Wrong author,"DracoM.,HermioneG.",Romance,Spanish,K,https://www.fanfiction.net/s/13466165/1/Locken-in-a-promise,"""La noche es tentadora.""",Locken in a promise,No specified pairings
1,0,0,2019-12-31,0.0,2019-12-31,2110,NimrodelUndomiel,Unspecified Characters,Friendship/Hurt/Comfort,English,K,https://www.fanfiction.net/s/13466162/1/Letters-to-No-One,Ginny's 15 most important letters to Harry.,Letters to No One,No specified pairings
1,12,4,2019-12-31,0.0,2019-12-31,3878,TheOnlyCeeCeeJ,"HermioneG.,DracoM.",Romance/Humor,English,M,https://www.fanfiction.net/s/13466146/1/Side-to-Side,Ginny & Luna notice Hermione is hiding something and force her to tell all. Who was she seeing? Was it him again! *Based on the Ariana Grande song of the same name*,Side to Side,No specified pairings
2,45,92,2019-12-31,8.0,2019-12-31,22859,GeorgeWarner,"HarryP.,HermioneG.,FleurD.,DaphneG.",Adventure/Romance,English,T,https://www.fanfiction.net/s/13466143/1/Sixth-Year-The-Steps-Toward-The-End,"After losing Sirius, Harry resolves to himself to become stronger, revive the DA and create his own 'army'. In one of the most trying year of his life, Harry will need everything he and his friends can offer to overcome the trails and tribulations before him.",Sixth Year: The Steps Toward The End,No specified pairings
2,36,54,2019-12-31,6.0,2019-12-31,9948,KingoftheLand1,"HarryP.,BellatrixL.,NarcissaM.",Adventure/Romance,English,T,https://www.fanfiction.net/s/13466140/1/The-Redemption-of-the-Black-Sisters,One sister had a soul consumed by the darkest magics. Another was lost in a loveless marriage. Neither had expected the life they had ended up with and in the quiet of their souls they wanted a second chance. Now they have one. PostOOTP Harry/Bella/Narcissa,The Redemption of the Black Sisters,No specified pairings
2,2,4,2019-12-31,1.0,2019-12-31,3900,Heilen Black,"HarryP.,HermioneG.,GeorgeW.,FredW.",Romance/Drama,French,K,https://www.fanfiction.net/s/13466120/1/AU-MILIEU-DES-T%C3%89N%C3%88BRES,"Leur vie à tous a basculé un matin de septembre. Une grande partie de la population magique a disparu. Dont George. Dont Ron. Dont Harry. Hermione fait tout ce qu'elle peut pour comprendre et trouver un moyen de les ramener, car elle refuse de croire qu'ils soient tous morts. Fred essaie tant bien que mal de supporter l'absence de son jumeau, sans qui, vivre à perdu tout son sens.",AU MILIEU DES TÉNÈBRES,No specified pairings
17,5,1,2019-12-31,18.0,2019-12-31,53647,Sadsnail,"SeverusS.,AlbusD.",Humor/Family,English,T,https://www.fanfiction.net/s/13466095/1/I-am-Albus-Dumbledore,"What would you do if suddenly you found yourself in Dumbledore's body? Crying is definitely in the plan. Changing into a four year old? Not so much. Pretending to be the son of Severus Snape? Never! When you've nothing better to do, you write crack. Enjoy!",I am Albus Dumbledore,No specified pairings
1,2,0,2019-12-31,1.0,2019-12-31,273,Wrong author,Unspecified Characters,Hurt/Comfort/Friendship,English,K+,https://www.fanfiction.net/s/13466086/1/Werewolves-can-be-Kind,"When Remus Lupin almost attacks Lily Evans, what will happen to their friendship?",Werewolves can be Kind,No specified pairings
1,6,3,2019-12-31,1.0,2019-12-31,643,Wrong author,"HarryP.,GeorgeW.,GinnyW.,TeddyL.",Family,English,K,https://www.fanfiction.net/s/13466077/1/The-Teddy-Bear,Harry has a gift for Teddy.,The Teddy Bear,No specified pairings
1,0,0,2019-12-31,0.0,2019-12-31,621,hufflepuffseeker101,"JamesP.,LilyEvansP.",Suspense/Mystery,English,K+,https://www.fanfiction.net/s/13466074/1/Peace-Restored-The-Epic-Finale-of-Weirdness-at-Hogwarts,"Are Lily Evans and James Potter going to be able to save Hogwarts, or is everything destroyed? Read to find out!","Peace Restored, The Epic Finale of Weirdness at Hogwarts",No specified pairings
1,1,1,2019-12-31,1.0,2019-12-31,878,Wrong author,"RonW.,HermioneG.,HarryP.RoseW.",Family,English,K,https://www.fanfiction.net/s/13466058/1/Of-Babies-and-Jumpers-and-Christmas,"It's Christmas Eve. Hermione's working, Harry's enjoying time with the baby, and Ron's worrying about hosting the family Christmas for the first time. It's all going to be fine though, because this is just a lot of fluff. Written for the 'Fanatical Fics and Where to Find Them' podcast's Christmas '19 comp. Prompts: - Weasley Jumper - Milk - Someone worrying about a present.",Of Babies and Jumpers and Christmas,"Ron W., Hermione G., Harry P."
1,0,0,2019-12-31,1.0,2019-12-31,719,Wrong author,"PercyW.,MollyW.",Family/Angst,English,K,https://www.fanfiction.net/s/13466053/1/The-Last-Jumper,Molly Weasley tries to decide whether to send Percy his Christmas jumper after he walked out on them. Written for the 'Fanatical Fics and Where to Find Them' podcast's Christmas '19 competition. Prompts: - Weasley Jumper - Milk - Someone worrying about giving/receiving a present,The Last Jumper,No specified pairings
2,54,86,2019-12-31,29.0,2019-12-31,3046,Caellestis,"HarryP.,DracoM.",Humor/Romance,French,T,https://www.fanfiction.net/s/13466024/1/L-%C3%A2me-de-Poudlard,"Il avait échoué. Harry attendait, sur le sol tâché de son sang, la mort. Mais celle qu'il rencontra ne fut le moins du monde la faucheuse, non, il rencontra l'âme de Poudlard, et elle réclamait vengeance. Et pour ce faire, elle le renvoya dans son corps d'enfant. C'est donc une nouvelle chance qui s'offrait à lui avec à ses côtés, ni plus ni moins que l'école elle-même. Time-travel",L'âme de Poudlard,No specified pairings
1,13,26,2019-12-31,5.0,2019-12-31,936,Wrong author,"HermioneG.,SeverusS.",Family,English,T,https://www.fanfiction.net/s/13466015/1/Stella-Lyra,"Hermione and Severus find a baby on their doorstep. Who is Stella Lyra, and can Hermione convince Severus to keep the child?",Stella Lyra,"Hermione G., Severus S."
1,0,0,2019-12-31,0.0,2019-12-31,39,flamefirelight5643,"HarryP.,DracoM.,SeverusS.,OC",Romance/Adventure,English,M,https://www.fanfiction.net/s/13465961/1/Mysterious-Magic,Just something I've whipped up after watching the Half-Blood Prince. Not sure if I'll continue it... I just wanted to get it down. And it may or may not be a Draco Fanfiction... I'm not really sure. :),Mysterious Magic,No specified pairings
1,0,0,2019-12-31,0.0,2019-12-31,105,UNHOLY LIGHT,Unspecified Characters,Unspecified Genre,English,K,https://www.fanfiction.net/s/13465952/1/Harry-Potter-Challenge,"Just a Challenge for anyone who cares or is interested in the challenge, contact me if want to know anything else about the challenge",Harry Potter Challenge,No specified pairings
2,16,26,2019-12-31,5.0,2019-12-31,3244,Bibliophile Anya,"OC,TomR.Jr.,Voldemort",Romance/Fantasy,English,T,https://www.fanfiction.net/s/13465944/1/Scars-on-our-Souls,"Even before a drop of water lands in water,it distorts the air. The same could be applied to my rebirth; even before it, it has caused unprecedented ripples. Twin to one of the most deranged characters. And born in a family doomed to destroy itself. I won't let it happen. I won't let the soulmark deter me nor my visions-Fem Seer SI/OC as Bellatrix's twin X TMR/LV; Soulmarks AU.",Scars on our Souls,"OC, Tom R. Jr., Voldemort"
1,1,0,2019-12-31,0.0,2019-12-31,921,Natalie Annick Malfoy Granger,"AlbusS.P.,ScorpiusM.,RoseW.",Adventure/Parody,Spanish,K+,https://www.fanfiction.net/s/13465940/1/El-lado-vil-de-la-Navidad,"Al llegar diciembre, hay comunidades con ciertas tradiciones. Así como Santa les trae regalos a los niños buenos, el Krampus reprende a los que fueron malos para que aprendan su lección.",El lado vil de la Navidad,No specified pairings
1,2,2,2019-12-31,1.0,2019-12-31,563,Wrong author,"HarryP.,HermioneG.",Unspecified Genre,English,K,https://www.fanfiction.net/s/13465925/1/When-Lord-Potter-Met-Harry,In which Lord Potter travels to another world to meet his counterpart. Oneshot. Warning: this will likely make very little sense to you unless you read When Harry Met Lord Potter by szaleniec first.,When Lord Potter Met Harry,No specified pairings
1,6,3,2019-12-30,0.0,2019-12-30,323,JjdoggieS,"HermioneG.,DracoM.",Romance/Humor,English,K,https://www.fanfiction.net/s/13465903/1/035-Staring,"Prompt: Staring At Each Other's Lips, Trying Not To Kiss Them, Before Giving In",035 Staring,"Hermione G., Draco M."
2,22,54,2019-12-30,8.0,2019-12-30,2732,Lumionessence,"LuciusM.,HermioneG.DracoM.,GinnyW.",Angst/Romance,English,M,https://www.fanfiction.net/s/13465875/1/Broken-Moonlight,No secret can remain hidden forever. LM/HG. Hurt/Comfort. EWE.,Broken Moonlight,"Lucius M., Hermione G."
1,18,8,2019-12-30,2.0,2019-12-30,4698,Wrong author,"HermioneG.,DracoM.LuciusM.,NarcissaM.",Romance/Family,English,T,https://www.fanfiction.net/s/13465863/1/Slytherin-Fairy-Godmother,"Hermione Granger-Malfoy dreads going to Lucius Malfoy's latest dinner party. She is exhausted, pregnant and not interested in meeting Draco's childhood ex-fiancee, Astoria Greengrass. The night gets worse until an unlikely fairy godmother brings the Dramione fluff. (Characters from my head canon, as they appear in my longer works ""The Oblivious Ones"" and ""Always Something"")",Slytherin Fairy Godmother,"Hermione G., Draco M."
3,12,16,2019-12-30,11.0,2019-12-30,7062,Nanda Rowling,"HermioneG.,DracoM.",Romance,Spanish,T,https://www.fanfiction.net/s/13465833/1/Despu%C3%A9s-de-la-Guerra,"Después de la Guerra. Las personas optan por diferentes formas de superarse. Hermione Granger nunca se imagino que su elección, no solo le daría paz y tranquilada, sino que haría un cambio completo a su vida, incluyendo tener a un rubio muy cerca.",Después de la Guerra,No specified pairings
1,3,2,2019-12-30,0.0,2019-12-30,1117,Gabriele Kazlauskaite,"FredW.,HermioneG.HarryP.,GeorgeW.",Unspecified Genre,English,T,https://www.fanfiction.net/s/13465806/1/Every-room-of-the-house,"Fred and Hermione share an interesting evening with George and Harry. I don't even know why I wrote this, but I hope you all enjoy it anyway",Every room of the house?,"Fred W., Hermione G."
1,0,2,2019-12-30,0.0,2019-12-30,2913,Parakage,OC,Adventure/Mystery,English,T,https://www.fanfiction.net/s/13465789/1/Mortelle,Sometimes you become a hero and sometimes you become a villain. But maybe most times you're just trying to live your life to the fullest and if someone calls you a monster along the way so be it. Nora only wants to learn all she possibly can whats wrong with that? But there are always some people who just wanna get in the way. (Intend to upload every one to two weeks),Mortelle,No specified pairings
1,9,40,2019-12-30,4.0,2019-12-30,1868,Wrong author,"HermioneG.,DracoM.,GinnyW.,TheodoreN.",Romance,English,M,https://www.fanfiction.net/s/13465785/1/A-Shocking-Truth,"Okay, so I suck at summaries but roll with it, please. Members of the Sacred 28 are getting letters, but one arrives at the flat of a Hermione Granger, as well as to Theodore Nott, Draco Malfoy, and Ginny Weasley. Rated M just in case Dramione as the main pairing 3rd attempt at this story, bear with me.",A Shocking Truth,No specified pairings
2,6,20,2019-12-30,6.0,2019-12-30,8706,Dumbothepatronus,"HermioneG.,DracoM.LavenderB.,TeddyL.",Romance/Humor,English,T,https://www.fanfiction.net/s/13465759/1/Draco-Meowfoy-Aristocat,"For the past two years, Professor Granger has been keeping an embarrassing secret, which is threatened to become unearthed when a certain blonde aristocrat invades her apartment building as well as her workplace. When troublesome students and a blackmailing boss babe threaten her livelihood and her sanity, how will she manage to straighten things out? Dramione/weekly updates",Draco Meowfoy: Aristocat,"Hermione G., Draco M."
1,1,1,2019-12-30,0.0,2019-12-30,913,CieloDistante,Unspecified Characters,Romance/Family,Spanish,K,https://www.fanfiction.net/s/13465734/1/Momento,Solo un momento.,Momento,No specified pairings
1,320,671,2019-12-30,172.0,2019-12-30,4859,Wrong author,"HermioneG.,DracoM.,AntoninD.,T.Rowle",Romance/Hurt/Comfort,English,M,https://www.fanfiction.net/s/13465729/1/Closer-Than-Most,"With the Order desperate for a way to overthrow Voldemort after Ginny is killed & Harry & Ron are left comatose, Dumbledore invokes a new plan. Like the succubus, Morgana, Hermione must harvest the magical essence of the wizards around her. With eight powerful wizards frequenting her bed & sharing her magic, Hermione will find out what it's like to get a little closer than most",Closer Than Most,No specified pairings
3,9,12,2019-12-30,0.0,2019-12-30,6332,Lightningwolf18,"HarryP.,OCNevilleL.",Hurt/Comfort/Family,English,T,https://www.fanfiction.net/s/13465711/1/Braewood-Keep,"Harry Potter was once a broken young soul, but now he has something more. A new name, a family, and a purpose to protect them and his home. Hogwarts isn't ready for him. Nobody is. He will take the world by storm and everyone will remember his name. Hadrian Marrok Emrys Conan.",Braewood Keep,"Harry P., OC"
